,local_min,b_less_than_0,c_greaterthan_0,c_greater_than_a,bar,blink
150,True,False,True,False,0.08048982786915755,False
151,True,True,False,False,0.48563620010679814,False
152,True,True,False,False,0.03415628536084361,False
153,True,True,True,True,0.1805344881655596,False
154,True,False,True,True,0.027758661646996727,False
155,True,True,True,True,0.9166970650202149,True
156,True,False,True,False,0.002847406051779115,False
157,True,True,False,False,0.32992415425463967,False
158,True,True,True,True,0.1797573301921584,False
159,True,True,True,False,0.03912451461973843,False
160,True,False,True,True,0.11621373361009531,False
161,True,False,True,True,0.07395856460214424,False
162,True,False,True,False,0.042353329812456514,False
163,True,False,True,True,0.06346597506475272,False
164,True,False,True,False,0.030004999691952756,False
165,True,True,False,False,0.5455409209833886,False
166,True,True,True,False,0.034388700266861784,False
167,True,True,True,True,0.1726984650948978,False
168,True,False,True,True,0.06153604791008008,False
169,True,False,True,True,0.07980362564206113,False
170,True,False,True,True,0.05147601352820738,False
171,True,False,True,True,0.11221488183728207,False
172,True,True,False,False,0.5355795083410752,False
173,True,True,True,True,0.12179538075574547,False
174,True,False,True,True,0.059991354481756645,False
175,True,False,True,True,0.08010145320573757,False
176,True,False,True,False,0.03296613401966116,False
177,True,False,True,True,0.08543319860898545,False
178,True,False,True,False,0.028861912731679335,False
179,True,True,False,False,0.6247399304454779,False
180,True,True,True,True,0.1837755846518454,False
181,True,True,True,True,0.5290898758083756,True
182,True,False,True,False,0.01914815222396357,False
183,True,False,True,False,0.026897301915246467,False
184,True,True,False,False,0.44818409740768955,False
185,True,True,True,True,0.1907117096591867,False
186,True,False,True,True,0.020630738804783784,False
187,True,False,True,True,0.08490929045316097,False
188,True,False,True,False,0.050738832204415406,False
189,True,False,True,True,0.05060774980183374,False
190,True,False,True,False,0.00044685335582575903,False
191,True,True,False,False,0.5139341172311604,False
192,True,True,True,True,0.21090774094930045,False
193,True,False,True,True,0.09207896882068231,False
194,True,True,True,True,0.8000242331062414,True
195,True,True,False,False,0.348822508458432,False
196,True,True,True,True,0.14905803086773015,False
197,True,False,True,False,0.011789823048147394,False
198,True,False,True,True,0.08459019397615276,False
199,True,False,True,True,0.1446160692412,False
200,True,True,False,False,0.42325420679619746,False
201,True,False,True,True,0.14978448480448786,False
202,True,False,True,False,0.03507244965451769,False
203,True,False,True,False,0.054793672199990213,False
204,True,False,True,True,0.03395960124462227,False
205,True,False,True,True,0.11328323908196018,False
206,True,True,False,False,0.47062658200200863,False
207,True,True,True,True,0.16750153836105236,False
208,True,False,True,True,0.059204902742177594,False
209,True,True,True,True,0.5959015505125828,True
210,True,False,True,False,0.030454333350714898,False
211,True,False,True,False,0.023643389496199166,False
212,True,True,False,False,0.4214036326647682,False
213,True,True,True,True,0.08348365367207167,False
214,True,True,True,True,0.15745668711547284,False
215,True,False,True,False,0.01597927962832847,False
216,True,False,True,True,0.06492443558801511,False
217,True,False,True,False,0.0013965511945302016,False
218,True,False,True,True,0.09700819290050854,False
219,True,True,False,False,0.5329957811724255,False
220,True,True,True,True,0.10202124318250447,False
221,True,False,True,True,0.14385530946496794,False
222,True,False,True,True,0.04022358275726064,False
223,True,False,True,True,0.060327445808246075,False
224,True,False,True,False,0.023053820873588864,False
225,True,False,True,True,0.07649840381989116,False
226,True,False,True,False,0.003254864279354502,False
227,True,True,False,False,0.48935844981958015,False
228,True,True,False,True,0.2697596207642318,False
229,True,True,True,True,0.1545625532849381,False
230,True,False,True,True,0.06531208621906621,False
231,True,True,True,True,0.8907885105195479,True
232,True,False,True,False,0.05317118823684594,False
233,True,True,False,False,0.3865583736379081,False
234,True,True,False,False,0.0026397273869959385,False
235,True,True,True,True,0.14763994862936033,False
236,True,False,True,True,0.05345898938130817,False
237,True,False,True,False,0.02990078642625173,False
238,True,False,True,True,0.07625295415766305,False
239,True,False,True,True,0.07727998526113096,False
240,True,True,False,False,0.4517728417855054,False
241,True,True,True,True,0.27030216102803784,False
242,True,True,True,True,0.1792826853287626,False
243,True,False,True,True,0.021254622885811272,False
244,True,False,True,True,0.05378035065185623,False
245,True,False,True,True,0.08304728476916917,False
246,True,False,True,True,0.05944042376270254,False
247,True,False,True,True,0.06135285879298687,False
248,True,True,False,False,0.5098008590356075,False
249,True,True,True,True,0.024202507718402752,False
250,True,True,True,True,0.19681761094878722,False
251,True,True,True,True,0.7443229549629898,True
252,True,False,True,False,0.00817746994375423,False
253,True,False,True,False,0.016396302137704804,False
254,True,False,True,False,0.0025255575594536005,False
255,True,True,False,False,0.40094653215577747,False
256,True,True,True,True,0.054471731899297014,False
257,True,False,True,True,0.12351501958888338,False
258,True,False,True,True,0.055899450581461965,False
259,True,False,True,False,0.021754385082450072,False
260,True,False,True,True,0.052554910404014527,False
261,True,False,True,False,0.050470266956930764,False
262,True,True,False,False,0.6219999401143367,False
263,True,False,True,True,0.005076839110533395,False
264,True,False,True,True,0.23301507180366832,False
265,True,False,True,False,0.005152456240655059,False
