FD
-7.95
-6.68
-3.04
1.22
3.24
4.66
6.39
8.09
8.97
7.66
6.77
8.58
10.25
10.46
10.92
14.24
16.53
15.65
16.25
16.84
16.57
17.66
18.08
17.48
17.87
19.33
20.48
20.73
20.77
18.53
12.18
1.68
-14.38
-31.28
-41.17
-43.46
-40.78
-37.51
-36.87
-37.14
-36.54
-33.18
-26.05
-19.11
-16.46
-16.27
-15.09
-13.33
-12.12
-9.14
-3.71
0.91
3.23
4.99
5.63
4.65
5.13
9.22
12.88
12.27
10.34
9.8
11.89
14.63
14.13
12.56
13.47
14.68
11.36
2.45
-6.04
-6.71
1.77
15.68
27.54
31.81
31.31
31.58
31.12
25.86
16.55
4.7
-11
-27.35
-35.48
-33.4
-30.59
-32.84
-34.7
-32.08
-28.29
-24.95
-18.32
-10.95
-9.8
-11.68
-10.36
-7.2
-4.69
-2.39
0.53
4.01
6.96
8.51
8.59
9.66
12.43
13.08
11.25
11.71
14.4
15.23
15.86
16.93
17.46
19.16
20.79
20.07
19.43
20.23
20.49
20.43
21.51
22.31
22.29
22.94
23.75
23.55
23.26
22.57
18.91
10.94
-2
-18.82
-32.78
-37.49
-36.25
-35.98
-35.89
-34.21
-32.62
-31.38
-28.41
-22.27
-15.33
-10.37
-8.52
-8.77
-7.53
-3.62
0.25
1.52
1.48
4.49
8.55
9.07
7.71
3.07
-6.39
-14.69
-15.89
-6.7
7.89
18.68
24.7
27.1
26.05
24.83
24.86
24.57
23.86
23.27
22.89
22.73
24.03
25.3
24.34
22.52
21.94
23.51
24.63
23.3
21.91
21.61
18.34
8.23
-8.01
-25.07
-35.73
-37.9
-34.84
-31.45
-31.11
-33.36
-33.54
-29
-22.61
-16.19
-11.37
-11.32
-12.79
-11.58
-9.08
-6.17
-3.29
-1.89
-0.59
2.16
4.44
6.14
7.56
7.6
7.43
9.19
11.86
10.72
8.33
10.58
13.59
15.05
15.93
17.22
18.29
17.76
17.86
18.75
17.53
15.75
16.38
19.4
21.98
20.77
18.51
17.58
12.05
-0.7
-15.84
-28.85
-36.91
-39.14
-37.15
-34.13
-32.38
-32.45
-31.72
-26.93
-20.64
-16.72
-15.5
-15.94
-15.34
-11.99
-8.77
-7.09
-5.46
-3.81
-1.73
1.29
5.48
8.67
8.66
6.87
2.34
-6.32
-15.33
-19.29
-15.22
-2.79
14.65
26.9
28.09
25.93
27.52
28.46
25.41
22.59
22.54
23.36
23.23
23.32
24.27
24.39
22.61
17.91
9.57
-3.75
-22.2
-38.51
-45.94
-45.62
-41.78
-38.75
-39.02
-39.52
-37.18
-34.42
-30.48
-23.29
-16.95
-13.93
-12.11
-11.13
-10.47
-8.44
-5.29
-0.91
3.17
5.43
6.66
8.45
10.35
10.1
8.34
3.19
-7.68
-18.49
-20.22
-8.7
10.29
25.13
31.66
33.16
31.35
29.38
28.7
28.1
27.35
27.94
29.39
28.6
26.6
24.95
21.01
11.2
-4.58
-22.61
-36
-40.37
-38.84
-37.56
-37.83
-37.07
-35.62
-33.54
-28.65
-21.48
-14.88
-10.61
-8.91
-8.57
-6.53
-2.7
0.3
2.04
4.55
8.3
11.11
11.41
11.01
13.91
17.25
17.69
16.84
16.3
17.75
20.84
21.95
20.17
19.13
20
21.43
21.88
21.16
21.04
22.59
24.82
25.37
24.56
23.11
17.79
6.23
-10.12
-27.97
-39.67
-40.02
-34.22
-28.77
-27.42
-29.42
-28.46
-23.63
-17.61
-12.52
-10.42
-9.76
-8.05
-4.84
-1.2
0.73
1.36
2.93
5.13
7.55
10.43
